fy,State_Name,Leg_Prof,Term_Limits,Party_Gov,Party_Senate,Party_House,Party_Years_Control,Party_Longevity,Population,Density_Public_Sector_Union,Density_Public_Collect_Barg,Union_Density,Density_Collect_Barg,Right_to_Work,Collective_Barg_Required,Gov_Liberalism,Revenue_Change,Per_Capita_GDP,Protection_Constitution,Protection_Contract_Statute,Protection_ContractJudicial,Protection_Property_Statute,Protection_COLA,Protection_PBI
2001,Alabama,0.067,0,1,1,1,,0,4464034,0.34,,0.10,,1,0,83.07,0.0151,33908,0,3,1,0,2,3
2002,Alabama,0.067,0,1,1,1,,0,4472420,0.30,,0.09,,1,0,83.07,-0.0531,34716,0,3,1,0,2,3
2003,Alabama,0.071,0,0,1,1,,0,4490591,0.27,,0.08,,1,0,46.10,-0.0409,35374,0,3,1,0,2,3
2004,Alabama,0.071,0,0,1,1,,0,4512190,0.26,,0.10,,1,0,46.10,0.0586,37181,0,3,1,0,2,3
2005,Alabama,0.071,0,0,1,1,,0,4545049,0.25,,0.10,,1,0,46.10,0.0623,37887,0,3,1,0,2,3
2006,Alabama,0.071,0,0,1,1,,0,4597688,0.29,,0.09,,1,0,46.10,0.0488,37911,0,3,1,0,2,3
2007,Alabama,0.071,0,0,1,1,,0,4637904,0.33,,0.10,,1,0,45.22,0.0017,37644,0,3,1,0,2,3
2008,Alabama,0.071,0,0,1,1,,0,4677464,0.30,,0.10,,1,0,45.62,-0.0238,37176,0,3,1,0,2,3
2009,Alabama,0.071,0,0,1,1,,0,4708708,0.31,,0.11,,1,0,42.33,-0.0889,35643,0,3,1,0,2,3
2010,Alabama,0.071,0,0,1,1,,0,4785161,0.29,,0.10,,1,0,41.78,-0.0087,36228,0,3,1,0,2,3
2011,Alabama,0.071,0,0,0,0,,0,4801108,0.31,,0.10,,1,0,20.54,-0.0094,36448,0,3,1,0,2,3
2012,Alabama,0.071,0,0,0,0,,0,4816089,0.30,,0.09,,1,0,19.96,0.0234,36695,0,3,2,0,2,3
2013,Alabama,0.071,0,0,0,0,,0,4830533,0.22,,0.11,,1,0,19.06,0.0060,36865,0,3,2,0,2,3
2014,Alabama,0.071,0,0,0,0,22,0,4846411,0.24,,0.11,,1,0,19.06,-0.0162,37083,0,3,2,0,2,3
2015,Alabama,0.071,0,0,0,0,,,4858979,0.27,,0.10,,1,0,,,37597,0,3,2,0,2,3
2001,Alaska,0.232,0,1,0,0,,1,633316,0.42,,0.22,,0,1,50.81,-0.0332,59329,2,0,2,0,2,1
2002,Alaska,0.232,0,1,0,0,,1,642691,0.54,,0.24,,0,1,50.81,-0.2595,60167,2,0,2,0,2,1
2003,Alaska,0.227,0,0,0,0,,1,650884,0.56,,0.22,,0,1,35.99,-0.0038,59169,2,0,2,0,2,1
2004,Alaska,0.227,0,0,0,0,,1,661569,0.55,,0.20,,0,1,35.99,0.1483,60696,2,0,2,0,2,1
2005,Alaska,0.227,0,0,0,0,,1,669488,0.53,,0.23,,0,1,35.99,0.3229,61513,2,0,2,0,2,1
2006,Alaska,0.227,0,0,0,0,,1,677325,0.55,,0.22,,0,1,35.99,0.2785,64670,2,0,2,0,2,1
2007,Alaska,0.227,0,0,0,0,,1,682297,0.53,,0.24,,0,1,35.99,0.4333,67399,2,0,2,0,2,1
2008,Alaska,0.227,0,0,0,0,,1,688125,0.56,,0.24,,0,1,39.03,1.2578,67563,2,0,2,0,2,1
2009,Alaska,0.227,0,0,1,0,,1,698473,0.52,,0.22,,0,1,42.48,-0.4399,72277,2,0,2,0,2,1
2010,Alaska,0.227,0,0,1,0,,1,714021,0.49,,0.23,,0,1,42.48,-0.1210,69682,2,0,2,0,2,1
2011,Alaska,0.227,0,0,1,0,,1,722720,0.49,,0.22,,0,1,40.47,0.1727,71233,2,0,2,0,2,1
2012,Alaska,0.227,0,0,1,0,,1,731228,0.42,,0.22,,0,1,42.48,0.2322,74289,2,0,2,0,2,1
2013,Alaska,0.227,0,0,0,0,,1,737442,0.46,,0.23,,0,1,35.44,-0.2883,69746,2,0,2,0,2,1
2014,Alaska,0.227,0,0,0,0,6,1,737046,0.51,,0.23,,0,1,35.44,-0.3491,67366,2,0,2,0,2,1
2015,Alaska,0.227,0,0,0,0,,,738432,0.46,,0.20,,0,1,,,66835,2,0,2,0,2,1
2001,Arizona,0.185,1,0,1,0,,1,5304417,0.17,,0.06,,1,0,16.74,-0.0184,39258,2,0,2,0,3,2
2002,Arizona,0.185,1,0,1,0,,1,5452108,0.19,,0.06,,1,0,16.74,-0.0247,39387,2,0,2,0,3,2
2003,Arizona,0.232,1,1,0,0,,1,5591206,0.16,,0.05,,1,0,54.48,-0.0179,40763,2,0,2,0,3,2
2004,Arizona,0.232,1,1,0,0,,1,5759425,0.17,,0.06,,1,0,54.48,0.0525,41169,2,0,2,0,3,2
2005,Arizona,0.232,1,1,0,0,,1,5974834,0.17,,0.06,,1,0,51.67,0.0696,42957,2,0,2,0,3,2
2006,Arizona,0.232,1,1,0,0,,1,6192100,0.20,,0.08,,1,0,51.67,0.1377,44018,2,0,2,0,3,2
2007,Arizona,0.232,1,1,0,0,,1,6362241,0.23,,0.09,,1,0,49.71,0.0255,44199,2,0,2,0,3,2
2008,Arizona,0.232,1,1,0,0,,1,6499377,0.19,,0.09,,1,0,49.71,-0.1358,42168,2,0,2,0,3,2
2009,Arizona,0.232,1,0,0,0,,1,6595778,0.21,,0.07,,1,0,5.46,-0.1591,38325,2,0,2,0,3,2
2010,Arizona,0.232,1,0,0,0,,1,6408208,0.25,,0.06,,1,0,5.46,-0.0631,38170,2,0,2,0,3,2
2011,Arizona,0.232,1,0,0,0,,1,6468732,0.18,,0.06,,1,0,4.11,0.0988,38442,2,0,2,0,3,2
2012,Arizona,0.232,1,0,0,0,,1,6553262,0.18,,0.05,,1,0,4.11,0.0246,38732,2,0,2,0,3,2
2013,Arizona,0.232,1,0,0,0,,1,6630799,0.15,,0.05,,1,0,4.51,0.0097,38303,2,0,2,0,3,2
2014,Arizona,0.232,1,0,0,0,8,1,6728783,0.17,,0.05,,1,0,3.02,-0.0580,38438,2,0,2,0,3,0
2015,Arizona,0.232,1,0,0,0,,,6828065,0.18,,0.05,,1,0,,,38244,2,0,2,0,3,0
2001,Arkansas,0.104,0,0,1,1,,1,2691068,0.16,,0.06,,1,0,47.31,-0.0097,31883,0,1,1,0,2,3
2002,Arkansas,0.104,0,0,1,1,,1,2704732,0.15,,0.06,,1,0,47.31,0.0162,32647,0,1,1,0,2,3
2003,Arkansas,0.106,0,0,1,1,,1,2722291,0.11,,0.05,,1,0,46.89,-0.0344,33792,0,1,1,0,2,3
2004,Arkansas,0.106,0,0,1,1,,1,2746161,0.13,,0.05,,1,0,46.89,0.0465,35021,0,1,1,0,2,3
2005,Arkansas,0.106,0,0,1,1,,1,2776221,0.12,,0.05,,1,0,46.89,0.1205,35610,0,1,1,0,2,3
2006,Arkansas,0.106,0,0,1,1,,1,2815097,0.11,,0.05,,1,0,46.89,0.0240,36161,0,1,1,0,2,3
2007,Arkansas,0.106,0,1,1,1,,1,2842194,0.11,,0.05,,1,0,74.58,0.0151,35889,0,1,1,0,2,3
2008,Arkansas,0.106,0,1,1,1,,1,2867764,0.16,,0.06,,1,0,74.58,-0.0271,35774,0,1,1,0,2,3
2009,Arkansas,0.106,0,1,1,1,,1,2889450,0.13,,0.04,,1,0,74.58,-0.0127,34554,0,1,1,0,2,3
2010,Arkansas,0.106,0,1,1,1,,1,2922394,0.10,,0.04,,1,0,74.58,-0.0128,35344,0,1,1,0,2,3
2011,Arkansas,0.106,0,1,1,1,,1,2938538,0.13,,0.04,,1,0,68.77,0.0143,35867,0,1,1,0,2,3
2012,Arkansas,0.106,0,1,1,1,,1,2949499,0.12,,0.03,,1,0,68.49,0.0169,35753,0,1,1,0,2,3
2013,Arkansas,0.106,0,1,0,0,,1,2957957,0.12,,0.04,,1,0,48.90,0.0180,36571,0,1,1,0,2,3
2014,Arkansas,0.106,0,1,0,0,32,1,2966835,0.15,,0.05,,1,0,48.90,0.0215,37252,0,1,1,0,2,3
2015,Arkansas,0.106,0,0,0,0,,,2978204,0.14,,0.05,,1,0,,,37644,0,1,1,0,2,3
2001,California,0.57,1,1,1,1,,1,34485623,0.55,,0.16,,0,1,89.25,0.0340,47786,0,2,2,0,0,3
2002,California,0.57,1,1,1,1,,1,34876194,0.55,,0.18,,0,1,89.25,-0.1635,48417,0,2,2,0,0,3
2003,California,0.626,1,1,1,1,,1,35251107,0.55,,0.17,,0,1,89.68,-0.0145,49815,0,2,2,0,0,3
2004,California,0.626,1,0,1,1,,1,35558419,0.59,,0.17,,0,1,51.75,0.0444,51424,0,2,2,0,0,3
2005,California,0.626,1,0,1,1,,1,35795255,0.57,,0.17,,0,1,50.92,0.1029,53092,0,2,2,0,0,3
2006,California,0.626,1,0,1,1,,1,35979208,0.57,,0.16,,0,1,50.92,0.0895,54508,0,2,2,0,0,3
2007,California,0.626,1,0,1,1,,1,36226122,0.56,,0.17,,0,1,50.56,-0.0041,55008,0,2,2,0,0,3
2008,California,0.626,1,0,1,1,,1,36580371,0.57,,0.18,,0,1,50.16,-0.0238,54713,0,2,2,0,0,3
2009,California,0.626,1,0,1,1,,1,36961664,0.53,,0.17,,0,1,49.84,-0.1448,51775,0,2,2,0,0,3
2010,California,0.626,1,0,1,1,,1,37334079,0.53,,0.18,,0,1,49.84,0.0335,51733,0,2,2,0,0,3
2011,California,0.626,1,1,1,1,,1,37700034,0.54,,0.17,,0,1,89.41,0.0673,51936,0,2,2,0,0,3
2012,California,0.626,1,1,1,1,,1,38056055,0.53,,0.17,,0,1,89.41,-0.0623,52660,0,2,2,0,0,3
2013,California,0.626,1,1,1,1,,1,38414128,0.53,,0.16,,0,1,87.43,0.1289,53487,0,2,2,0,0,3
2014,California,0.626,1,1,1,1,35,1,38792291,0.56,,0.16,,0,1,87.43,0.0103,54606,0,2,2,0,0,3
2015,California,0.626,1,1,1,1,,,39144818,0.52,,0.16,,0,1,,,56365,0,2,2,0,0,3
2001,Colorado,0.172,1,0,1,0,,0,4433068,0.17,,0.09,,0,0,21.16,0.0163,50247,0,1,0,0,2,2
2002,Colorado,0.172,1,0,1,0,,0,4504265,0.20,,0.08,,0,0,19.93,-0.1125,49809,0,1,0,0,2,2
2003,Colorado,0.202,1,0,0,0,,0,4548775,0.22,,0.08,,0,0,16.71,-0.0704,49838,0,1,0,0,2,2
2004,Colorado,0.202,1,0,0,0,,0,4599681,0.24,,0.08,,0,0,16.71,0.0241,50234,0,1,0,0,2,2
2005,Colorado,0.202,1,0,1,1,,0,4660780,0.26,,0.08,,0,0,29.30,0.0363,51847,0,1,0,0,2,2
2006,Colorado,0.202,1,0,1,1,,0,4753044,0.22,,0.08,,0,0,29.30,0.0601,51736,0,1,0,0,2,2
2007,Colorado,0.202,1,1,1,1,,0,4842259,0.21,,0.09,,0,0,38.54,0.0322,51895,0,1,0,0,2,2
2008,Colorado,0.202,1,1,1,1,,0,4935213,0.22,,0.08,,0,0,78.13,-0.0114,51726,0,1,0,0,2,2
2009,Colorado,0.202,1,1,1,1,,0,5024748,0.24,,0.07,,0,0,78.69,-0.1099,50296,0,1,0,0,2,2
2010,Colorado,0.202,1,1,1,1,,0,5048254,0.23,,0.07,,0,0,78.69,-0.0432,50194,0,1,1,0,2,2
2011,Colorado,0.202,1,1,0,0,,0,5119480,0.24,,0.08,,0,0,67.06,0.0555,50069,0,1,1,0,2,2
2012,Colorado,0.202,1,1,1,0,,0,5191731,0.24,,0.08,,0,0,67.06,0.0469,50547,0,1,1,0,2,2
2013,Colorado,0.202,1,1,1,1,,0,5271132,0.22,,0.08,,0,0,73.46,0.0646,50807,0,1,1,0,2,2
2014,Colorado,0.202,1,1,1,1,27,0,5355588,0.21,,0.10,,0,0,72.44,0.0116,52060,0,1,1,0,1,2
2015,Colorado,0.202,1,1,0,1,,,5456574,0.26,,0.08,,0,0,,,52920,0,1,1,0,1,2
2001,Connecticut,0.178,0,0,1,1,,1,3428433,0.66,,0.15,,0,1,57.27,-0.0602,60867,0,1,0,1,1,3
2002,Connecticut,0.178,0,0,1,1,,1,3448382,0.61,,0.17,,0,1,57.27,-0.1083,60174,0,1,0,1,1,3
2003,Connecticut,0.19,0,0,1,1,,1,3467673,0.56,,0.15,,0,1,58.25,0.0221,60848,0,1,0,1,1,3
2004,Connecticut,0.19,0,0,1,1,,1,3474610,0.60,,0.15,,0,1,58.25,0.0503,64579,0,1,0,1,1,3
2005,Connecticut,0.19,0,0,1,1,,1,3477416,0.65,,0.16,,0,1,59.07,0.0855,65444,0,1,0,1,1,3
2006,Connecticut,0.19,0,0,1,1,,1,3485162,0.64,,0.16,,0,1,59.07,0.0110,67400,0,1,0,1,1,3
2007,Connecticut,0.19,0,0,1,1,,1,3488633,0.64,,0.16,,0,1,57.66,0.0610,69762,0,1,0,1,1,3
2008,Connecticut,0.19,0,0,1,1,,1,3502932,0.63,,0.17,,0,1,57.66,0.0075,66880,0,1,0,1,1,3
2009,Connecticut,0.19,0,0,1,1,,1,3518288,0.62,,0.17,,0,1,54.30,-0.1292,63472,0,1,0,1,1,3
2010,Connecticut,0.19,0,0,1,1,,1,3579717,0.59,,0.17,,0,1,54.30,-0.0063,63758,0,1,0,1,1,3
2011,Connecticut,0.19,0,1,1,1,,1,3589759,0.64,,0.17,,0,1,82.22,0.0601,63092,0,1,0,1,1,3
2012,Connecticut,0.19,0,1,1,1,,1,3593541,0.61,,0.14,,0,1,82.22,0.1186,63178,0,1,0,1,1,3
2013,Connecticut,0.19,0,1,1,1,,1,3597168,0.60,,0.14,,0,1,82.99,0.0170,62847,0,1,0,1,1,3
2014,Connecticut,0.19,0,1,1,1,32,1,3594762,0.64,,0.15,,0,1,82.99,-0.0187,63650,0,1,0,1,1,3
2015,Connecticut,0.19,0,1,1,1,,,3590886,0.55,,0.17,,0,1,,,64115,0,1,0,1,1,3
2001,Delaware,0.151,0,1,1,0,,0,794620,0.35,,0.12,,0,1,65.36,-0.0513,64376,0,1,1,0,2,3
2002,Delaware,0.151,0,1,1,0,,0,804131,0.38,,0.11,,0,1,65.36,0.0026,62003,0,1,1,0,2,3
2003,Delaware,0.148,0,1,1,0,,0,814905,0.35,,0.11,,0,1,65.36,-0.0614,63863,0,1,1,0,2,3
2004,Delaware,0.148,0,1,1,0,,0,826639,0.37,,0.12,,0,1,65.36,0.0760,67008,0,1,1,0,2,3
2005,Delaware,0.148,0,1,1,0,,0,839906,0.37,,0.12,,0,1,65.36,0.0368,66955,0,1,1,0,2,3
2006,Delaware,0.148,0,1,1,0,,0,853022,0.39,,0.11,,0,1,65.36,0.0519,67533,0,1,1,0,2,3
2007,Delaware,0.148,0,1,1,0,,0,864896,0.45,,0.12,,0,1,67.44,-0.0262,66032,0,1,1,0,2,3
2008,Delaware,0.148,0,1,1,0,,0,876211,0.39,,0.13,,0,1,68.74,-0.0413,61346,0,1,1,0,2,3
2009,Delaware,0.148,0,1,1,1,,0,885122,0.36,,0.12,,0,1,79.06,-0.0503,63219,0,1,1,0,2,3
2010,Delaware,0.148,0,1,1,1,,0,899791,0.39,,0.11,,0,1,79.06,-0.0376,63053,0,1,1,0,2,3
2011,Delaware,0.148,0,1,1,1,,0,907916,0.38,,0.10,,0,1,76.57,0.1342,63603,0,1,1,0,2,3
2012,Delaware,0.148,0,1,1,1,,0,917099,0.40,,0.10,,0,1,76.57,-0.0248,62327,0,1,1,0,2,3
2013,Delaware,0.148,0,1,1,1,,0,925353,0.40,,0.10,,0,1,76.57,-0.0034,61004,0,1,1,0,2,3
2014,Delaware,0.148,0,1,1,1,34,0,935968,0.34,,0.10,,0,1,76.57,-0.0764,62904,0,1,1,0,2,3
2015,Delaware,0.148,0,1,1,1,,,945934,0.38,,0.09,,0,1,,,63463,0,1,1,0,2,3
2001,District of Columbia,,0,1,1,1,,1,578042,0.21,,0.17,,0,1,,,,0,0,0,0,2,3
2002,District of Columbia,,0,1,1,1,,1,579585,0.18,,0.14,,0,1,,,,0,0,0,0,2,3
2003,District of Columbia,,0,1,1,1,,1,577777,0.21,,0.15,,0,1,,,,0,0,0,0,2,3
2004,District of Columbia,,0,1,1,1,,1,579796,0.17,,0.13,,0,1,,,,0,0,0,0,2,3
2005,District of Columbia,,0,1,1,1,,1,582049,0.18,,0.11,,0,1,,,,0,0,0,0,2,3
2006,District of Columbia,,0,1,1,1,,1,583978,0.17,,0.10,,0,1,,,,0,0,0,0,2,3
2007,District of Columbia,,0,1,1,1,,1,586409,0.20,,0.10,,0,1,,,,0,0,0,0,2,3
2008,District of Columbia,,0,1,1,1,,1,590074,0.21,,0.12,,0,1,,,,0,0,0,0,2,3
2009,District of Columbia,,0,1,1,1,,1,599657,0.18,,0.10,,0,1,,,,0,0,0,0,2,3
2010,District of Columbia,,0,1,1,1,,1,605126,0.21,,0.09,,0,1,,,,0,0,0,0,2,3
2011,District of Columbia,,0,1,1,1,,1,620472,0.21,,0.08,,0,1,,,,0,0,0,0,2,3
2012,District of Columbia,,0,1,1,1,,1,635342,0.23,,0.09,,0,1,,,,0,0,0,0,2,3
2013,District of Columbia,,0,1,1,1,,1,649540,0.26,,0.09,,0,1,,,,0,0,0,0,2,3
2014,District of Columbia,,0,1,1,1,42,1,659836,0.24,,0.09,,0,1,,,,0,0,0,0,2,3
2015,District of Columbia,,0,1,1,1,,,672228,0.31,,0.10,,0,1,,,,0,0,0,0,2,3
2001,Florida,0.249,1,0,0,0,,1,16353869,0.28,,0.07,,1,1,15.70,-0.0418,38731,0,1,1,0,3,2
2002,Florida,0.249,1,0,0,0,,1,16680309,0.27,,0.06,,1,1,15.70,-0.0194,39457,0,1,1,0,3,2
2003,Florida,0.223,1,0,0,0,,1,16981183,0.24,,0.06,,1,1,16.74,0.0222,40364,0,1,1,0,3,2
2004,Florida,0.223,1,0,0,0,,1,17375259,0.25,,0.06,,1,1,16.74,0.0754,41618,0,1,1,0,3,2
2005,Florida,0.223,1,0,0,0,,1,17783868,0.26,,0.05,,1,1,16.83,0.0481,43329,0,1,1,0,3,2
2006,Florida,0.223,1,0,0,0,,1,18088505,0.23,,0.05,,1,1,16.83,0.1260,44034,0,1,1,0,3,2
2007,Florida,0.223,1,0,0,0,,1,18277888,0.25,,0.06,,1,1,15.95,-0.0695,43724,0,1,1,0,3,2
2008,Florida,0.223,1,0,0,0,,1,18423878,0.28,,0.06,,1,1,15.95,-0.1145,41569,0,1,1,0,3,2
2009,Florida,0.223,1,0,0,0,,1,18537969,0.26,,0.06,,1,1,16.82,-0.1121,38704,0,1,1,0,3,2
2010,Florida,0.223,1,0,0,0,,1,18849890,0.23,,0.06,,1,1,16.82,-0.0743,38314,0,1,1,0,3,2
2011,Florida,0.223,1,0,0,0,,1,19105533,0.22,,0.06,,1,1,12.49,-0.0074,37529,0,1,1,0,3,2
2012,Florida,0.223,1,0,0,0,,1,19352021,0.24,,0.06,,1,1,12.49,0.0085,37702,0,1,1,0,3,2
2013,Florida,0.223,1,0,0,0,,1,19594467,0.23,,0.05,,1,1,11.34,0.0204,38090,0,1,1,0,3,1
2014,Florida,0.223,1,0,0,0,0,1,19905569,0.25,,0.06,,1,1,11.34,-0.0082,38497,0,1,1,0,3,1
2015,Florida,0.223,1,0,0,0,,,20271272,0.27,,0.07,,1,1,,,38950,0,1,1,0,3,1
2001,Georgia,0.107,0,1,1,1,,1,8419594,0.12,,0.07,,1,0,76.65,0.0151,45206,0,2,2,0,2,3
2002,Georgia,0.107,0,1,1,1,,1,8585535,0.12,,0.06,,1,0,76.65,-0.0712,44740,0,2,2,0,2,3
2003,Georgia,0.116,0,0,0,1,,1,8735259,0.12,,0.07,,1,0,32.72,-0.0601,45015,0,2,2,0,2,3
2004,Georgia,0.116,0,0,0,1,,1,8913676,0.11,,0.06,,1,0,32.72,0.0402,45434,0,2,2,0,2,3
2005,Georgia,0.116,0,0,0,0,,1,9097428,0.10,,0.05,,1,0,12.74,0.0217,46361,0,2,2,0,2,3
2006,Georgia,0.116,0,0,0,0,,1,9330086,0.11,,0.04,,1,0,12.74,0.0258,45926,0,2,2,0,2,3
2007,Georgia,0.116,0,0,0,0,,1,9533761,0.13,,0.04,,1,0,7.84,0.0212,45763,0,2,2,0,2,3
2008,Georgia,0.116,0,0,0,0,,1,9697838,0.09,,0.04,,1,0,7.43,-0.0615,44138,0,2,2,0,2,3
2009,Georgia,0.116,0,0,0,0,,1,9829211,0.13,,0.05,,1,0,6.74,-0.1181,41860,0,2,2,0,2,3
2010,Georgia,0.116,0,0,0,0,,1,9713454,0.10,,0.04,,1,0,6.49,-0.1042,41561,0,2,2,0,2,3
2011,Georgia,0.116,0,0,0,0,,1,9812280,0.12,,0.04,,1,0,3.85,0.0390,41592,0,2,2,0,2,3
2012,Georgia,0.116,0,0,0,0,,1,9917639,0.19,,0.04,,1,0,3.85,0.0120,41740,0,2,2,0,2,3
2013,Georgia,0.116,0,0,0,0,,1,9991562,0.19,,0.05,,1,0,3.12,0.0511,42082,0,2,2,0,2,3
2014,Georgia,0.116,0,0,0,0,8,1,10097132,0.19,,0.04,,1,0,3.12,0.0103,42694,0,2,2,0,2,3
2015,Georgia,0.116,0,0,0,0,,,10214860,0.20,,0.04,,1,0,,,43301,0,2,1,0,2,3
2001,Hawaii,0.252,0,1,1,1,,1,1218305,0.50,,0.23,,0,1,90.79,0.0120,43535,1,1,1,0,2,2
2002,Hawaii,0.252,0,1,1,1,,1,1228069,0.51,,0.24,,0,1,90.79,-0.0508,44324,1,1,1,0,2,2
2003,Hawaii,0.225,0,0,1,1,,1,1239298,0.53,,0.24,,0,1,64.90,0.0114,45926,1,1,1,0,2,2
2004,Hawaii,0.225,0,0,1,1,,1,1252782,0.48,,0.24,,0,1,64.90,0.0314,47997,1,1,1,0,2,2
2005,Hawaii,0.225,0,0,1,1,,1,1266117,0.51,,0.26,,0,1,64.90,0.0978,49790,1,1,1,0,2,2
2006,Hawaii,0.225,0,0,1,1,,1,1275599,0.50,,0.25,,0,1,64.90,0.0601,50358,1,1,1,0,2,2
2007,Hawaii,0.225,0,0,1,1,,1,1276832,0.55,,0.23,,0,1,66.90,0.0020,50933,1,1,1,0,2,2
2008,Hawaii,0.225,0,0,1,1,,1,1287481,0.54,,0.24,,0,1,66.90,-0.0376,50565,1,1,1,0,2,2
2009,Hawaii,0.225,0,0,1,1,,1,1295178,0.57,,0.24,,0,1,67.17,-0.0914,48255,1,1,1,0,2,2
2010,Hawaii,0.225,0,0,1,1,,1,1363980,0.55,,0.22,,0,1,67.17,-0.0029,48935,1,1,1,0,2,2
2011,Hawaii,0.225,0,1,1,1,,1,1378227,0.58,,0.22,,0,1,87.11,-0.0366,49110,1,1,1,0,2,2
2012,Hawaii,0.225,0,1,1,1,,1,1392641,0.50,,0.22,,0,1,87.11,0.1005,49216,1,1,1,0,2,2
2013,Hawaii,0.225,0,1,1,1,,1,1408765,0.51,,0.22,,0,1,84.90,0.0763,49035,1,1,1,0,2,2
2014,Hawaii,0.225,0,1,1,1,34,1,1420257,0.54,,0.22,,0,1,84.90,-0.0329,49073,1,1,1,0,2,2
2015,Hawaii,0.225,0,1,1,1,,,1431603,0.56,,0.20,,0,1,,,49479,1,1,1,0,2,2
2001,Idaho,0.11,1,0,0,0,,1,1321170,0.18,,0.08,,1,1,12.47,0.0296,33559,0,1,2,0,1,3
2002,Idaho,0.11,1,0,0,0,,1,1342149,0.16,,0.07,,1,1,12.47,-0.1395,33882,0,1,2,0,1,3
2003,Idaho,0.138,0,0,0,0,,1,1364109,0.15,,0.07,,1,1,12.47,-0.0074,34383,0,1,2,0,1,3
2004,Idaho,0.138,0,0,0,0,,1,1391718,0.12,,0.06,,1,1,12.47,0.0773,35331,0,1,2,0,1,3
2005,Idaho,0.138,0,0,0,0,,1,1425862,0.15,,0.05,,1,1,12.47,0.0446,36510,0,1,2,0,1,3
2006,Idaho,0.138,0,0,0,0,,1,1464413,0.22,,0.06,,1,1,12.47,0.0085,37409,0,1,2,0,1,3
2007,Idaho,0.138,0,0,0,0,,1,1499245,0.18,,0.05,,1,1,14.09,0.0680,37423,0,1,2,0,1,3
2008,Idaho,0.138,0,0,0,0,,1,1527506,0.17,,0.07,,1,1,14.09,-0.0238,36740,0,1,2,0,1,3
2009,Idaho,0.138,0,0,0,0,,1,1545801,0.14,,0.06,,1,1,14.96,-0.1399,34631,0,1,2,0,1,3
2010,Idaho,0.138,0,0,0,0,,1,1570986,0.15,,0.07,,1,1,14.96,-0.0940,34727,0,1,2,0,1,3
2011,Idaho,0.138,0,0,0,0,,1,1584134,0.14,,0.05,,1,1,8.78,0.0624,34481,0,1,2,0,1,3
2012,Idaho,0.138,0,0,0,0,,1,1596097,0.16,,0.05,,1,1,8.78,0.0057,34355,0,1,2,0,1,3
2013,Idaho,0.138,0,0,0,0,,1,1612785,0.19,,0.05,,1,1,8.78,0.0344,34838,0,1,2,0,1,3
2014,Idaho,0.138,0,0,0,0,0,1,1634806,0.18,,0.05,,1,1,8.78,-0.0039,35083,0,1,2,0,1,3
2015,Idaho,0.138,0,0,0,0,,,1654930,0.18,,0.07,,1,1,,,35305,0,1,2,0,1,3
2001,Illinois,0.236,0,0,0,1,,1,12507833,0.53,,0.18,,0,1,34.53,-0.0170,48940,2,0,2,0,2,2
2002,Illinois,0.236,0,0,0,1,,1,12558229,0.55,,0.20,,0,1,34.53,-0.0473,48951,2,0,2,0,2,2
2003,Illinois,0.261,0,1,1,1,,1,12597981,0.52,,0.18,,0,1,82.56,-0.0357,49579,2,0,2,0,2,2
2004,Illinois,0.261,0,1,1,1,,1,12645295,0.50,,0.17,,0,1,82.56,0.0366,50674,2,0,2,0,0,2
2005,Illinois,0.261,0,1,1,1,,1,12674452,0.52,,0.17,,0,1,79.97,0.0758,51447,2,0,2,0,0,2
2006,Illinois,0.261,0,1,1,1,,1,12718011,0.50,,0.16,,0,1,79.97,0.0258,52683,2,0,2,0,0,2
2007,Illinois,0.261,0,1,1,1,,1,12779417,0.54,,0.15,,0,1,83.37,0.0380,53015,2,0,2,0,0,2
2008,Illinois,0.261,0,1,1,1,,1,12842954,0.50,,0.17,,0,1,83.94,-0.0449,51621,2,0,2,0,0,2
2009,Illinois,0.261,0,1,1,1,,1,12910409,0.44,,0.18,,0,1,85.58,-0.0841,50010,2,0,2,0,0,2
2010,Illinois,0.261,0,1,1,1,,1,12841249,0.50,,0.16,,0,1,85.58,-0.0060,50290,2,0,2,0,0,2
2011,Illinois,0.261,0,1,1,1,,1,12861882,0.49,,0.16,,0,1,84.30,0.0755,51172,2,0,2,0,0,2
2012,Illinois,0.261,0,1,1,1,,1,12875167,0.49,,0.15,,0,1,84.30,0.1486,52264,2,0,2,0,0,2
2013,Illinois,0.261,0,1,1,1,,1,12889580,0.50,,0.16,,0,1,83.18,0.0512,51812,2,0,2,0,0,2
2014,Illinois,0.261,0,1,1,1,38,1,12882189,0.52,,0.15,,0,1,83.18,-0.0033,52359,2,0,2,0,0,2
2015,Illinois,0.261,0,0,1,1,,,12859995,0.48,,0.15,,0,1,,,53640,2,0,2,0,0,1
2001,Indiana,0.106,0,1,0,1,,0,6124967,0.27,,0.15,,1,1,55.35,-0.0327,40259,0,1,1,0,1,3
2002,Indiana,0.106,0,1,0,1,,0,6149007,0.26,,0.13,,1,1,55.31,-0.0121,41034,0,1,1,0,1,3
2003,Indiana,0.102,0,1,0,1,,0,6181789,0.22,,0.12,,1,1,55.61,0.0685,42222,0,1,1,0,1,3
2004,Indiana,0.102,0,1,0,1,,0,6214454,0.23,,0.11,,1,1,55.61,0.0320,43489,0,1,1,0,1,3
2005,Indiana,0.102,0,0,0,0,,0,6253120,0.28,,0.12,,1,1,16.36,0.0322,43159,0,1,1,0,1,3
